8,9,4,14.7075555555556
3,8,3,3.682125
9,5,2,7.4184
1,1,5,31.825
5,2,4,42.184
3,1,9,265.113
3,2,7,80.1885
4,8,2,2.1365
9,8,4,18.546
5,4,6,47.457
4,6,9,57.6855
3,3,9,88.371
8,4,9,167.52825
9,2,6,166.914
3,6,3,4.9095
5,6,2,3.51533333333333
4,3,2,5.69733333333333
9,9,5,25.7583333333333
9,9,7,50.4863333333333
7,6,3,10.9095
1,8,9,12.889125
9,1,4,148.368
2,4,3,5.11425
2,2,8,72.736
9,2,8,296.736
3,6,1,0.5455
2,3,4,12.1226666666667
2,3,9,61.371
1,3,9,34.371
2,7,1,0.324714285714286
2,6,9,30.6855
2,1,6,81.828
5,5,8,67.4944
3,1,6,117.828
9,2,8,296.736
6,7,1,0.896142857142857
4,9,2,1.89911111111111
7,9,6,29.092
9,1,7,454.377
4,8,9,43.264125
7,8,5,22.728125
7,4,7,89.09425
3,6,9,44.1855
4,5,5,21.365
3,1,4,52.368
1,8,6,5.7285
9,5,7,90.8754
1,6,7,10.3961666666667
1,4,8,20.368
8,6,2,5.51533333333333
2,4,9,46.02825
6,3,7,102.459
5,7,5,18.8321428571429
3,6,6,19.638
3,8,6,14.7285
5,6,4,14.0613333333333
4,4,2,4.273
8,6,3,12.4095
4,4,8,68.368
6,8,7,38.422125
7,1,6,261.828
2,6,4,6.06133333333333
6,1,3,56.457
3,5,1,0.6546
1,3,5,10.6083333333333
8,7,8,75.6388571428571
3,6,1,0.5455
6,2,7,153.6885
2,7,8,20.7817142857143
2,8,6,10.2285
6,4,4,25.092
4,6,9,57.6855
6,5,9,101.6226
4,5,2,3.4184
4,8,6,19.2285
5,4,4,21.092
5,7,5,18.8321428571429
6,8,1,0.784125
3,9,9,29.457
8,2,7,202.6885
6,9,8,44.608
3,9,9,29.457
3,4,4,13.092
8,9,9,74.457
3,4,1,0.81825
4,6,8,45.5786666666667
5,1,2,21.092
4,9,8,30.3857777777778
2,1,8,145.472
5,3,5,43.9416666666667
4,2,5,53.4125
2,1,6,81.828
9,1,5,231.825
7,1,3,65.457
5,3,8,112.490666666667
8,3,6,99.276
8,6,1,1.37883333333333
8,8,1,1.034125
3,5,3,5.8914
6,2,6,112.914
8,9,2,3.67688888888889
3,7,9,37.8732857142857
9,1,4,148.368
9,2,2,18.546
4,5,5,21.365
9,8,8,74.184
4,6,4,11.3946666666667
5,4,7,64.59425
5,1,8,337.472
2,8,6,10.2285
6,5,6,45.1656
